Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
12-02-19,1862.137887,5888.095462,17.0450094,74.2631666,17.0451649,74.2654073,0.667917827,29,0,9907,,,,107,28,28,,62878819,5772393,120942
12-03-19,1993.721541,6261.815306,16.9409817,74.1317534,16.9409817,74.1317534,0.448668415,5,0.25502941,11509,,,,151,10,10,474605,66289342,7952757,
12-04-19,1653.53681,2863.875364,,,,,2.413951854,61.34385681,0.247826472,5180,,,,66,2,2,,53221640,2208619,
12-05-19,1611.974691,2145.121619,,,,,0.514321227,3,0.246413007,4527,,,,44,2,2,,67655781,1465436,
12-06-19,1691.164324,3035.469024,,,,,0.586320342,3,0.25502941,6186,,,,74,2,2,,73809250,2916483,
12-07-19,2100.151432,10932.72397,18.5238565,73.8488118,19.0034488,73.9518727,3.700138686,22.1080246,0.25502941,13849,,,,161,57,57,727652,38755982,9632260,
12-08-19,2340.641706,13196.22598,18.9983872,73.7207178,19.6064444,73.9477971,1.430594038,20.36607742,0.230429977,21925,,,,291,21,21,,33727266,13862878,416781
12-09-19,2025.391139,8574.485603,18.5037111,73.8312495,19.0026865,73.9478116,1.284940851,15.17471504,0.246691853,14228,,,,161,28,28,,60015143,9028610,
12-10-19,1689.118513,3779.956692,15.34969,75.1162058,15.3532,75.1490305,9.797273728,26.15003967,0.25502941,5389,,,,65,9,9,,37466446,2878065,
12-11-19,1817.65096,2879.225371,12.9839555,80.2330104,12.9854932,80.2365794,6.157703674,36.6230011,0.007627011,4691,,,,83,30,30,1667737,38921749,3450158,
12-12-19,1783.125309,4719.996648,12.9845942,80.2289213,12.9927242,80.2331837,0.529495251,3.716133356,0.25864023,3768,,,,91,36,36,2400406,77388095,1976957,
12-13-19,2073.277914,6690.115367,12.9837405,80.2267654,12.992055,80.2374992,0.701828914,3.823169231,0.028703149,5390,,,,159,91,91,5524655,73393105,4008326,
12-14-19,1818.155391,3692.518919,12.9837675,80.2343729,12.9868263,80.2354936,0.540459035,3.297980785,0.073119164,4012,,,,86,25,25,1676913,79461931,3083890,155638
12-15-19,1707.799666,1979.410587,12.9827366,80.2336533,12.9847719,80.2347453,0.505565811,1.2237885,0.25502941,3525,,,,51,2,2,,80479612,3221306,
12-16-19,1951.620817,5120.396371,12.9840192,80.2270881,12.9922535,80.2347762,0.417905706,3.164566517,0.25502941,6377,,,,114,21,21,1257821,75318028,4028209,1011019
12-17-19,1840.236835,5365.132077,12.9803871,80.2319228,12.9870427,80.2359363,0.553655145,4.559220791,0.25502941,7481,,,,98,15,15,535375,77440758,5075341,
12-18-19,1841.735516,3993.521051,12.9842155,80.2326987,12.9908326,80.2347457,0.481618512,2.830742359,0.027068738,3594,,,,96,46,46,3030148,77996834,2434060,
12-19-19,1889.294868,7060.099946,12.9837268,80.2324786,13.0009597,80.2411966,0.564540123,12,0.099194922,4828,,,,125,57,57,3595290,75784337,2698660,
12-20-19,1828.628755,7189.517201,12.9837906,80.2269043,12.9926856,80.2373753,0.63555826,4.621693134,0.177547067,5212,,,,105,36,36,2155066,72711197,3130001,
12-21-19,1952.437659,6119.019484,12.9825803,80.2269778,12.992664,80.2388422,0.483613311,4.03286314,0.050949745,4038,,,,137,76,76,4901539,76120418,2458907,
12-22-19,1790.224066,4037.876801,12.9841092,80.2327985,12.9848207,80.234696,0.697513035,2.963949442,0.253485441,6806,,,,90,15,15,,78897434,4731624,
12-23-19,2090.069796,8088.779054,12.983942,80.2165021,12.993002,80.2353283,0.457533836,3.738857746,0.110841073,6108,,,,200,112,112,7171648,65573447,2554175,
12-24-19,1768.151501,4132.552064,12.9839073,80.2309363,12.9909595,80.2354778,0.876636345,3.957259178,0.152052179,5803,,,,86,13,13,539200,73579552,3736867,
12-25-19,1676.583858,2848.977231,12.9843103,80.2340546,12.98473,80.2346333,0.6950027,2.154010296,0.265655637,4773,,,,59,6,6,,81930943,2649315,
12-26-19,2037.24015,10085.18416,12.9753328,80.223327,12.9929662,80.2387863,0.916379009,14.64031887,0.018427962,4596,,,,161,91,91,5881769,75063772,2965965,
12-27-19,1825.607127,2737.650569,12.9846508,80.2271788,12.9924237,80.233002,0.647689424,8,0.022686629,3007,,,,77,36,36,2360838,78352293,2854511,
12-28-19,1915.497018,6207.864182,12.9813682,80.2269157,12.9921139,80.2386813,0.518494773,2.810444355,0.075117938,4885,,,,120,60,60,3703195,75373939,2920310,63474
12-29-19,2076.350331,16410.59234,12.9809475,80.2312238,13.0007068,80.2713596,0.563649681,8.288336754,0.25502941,6561,,,,179,103,103,5523867,73430757,4060056,
12-30-19,1931.065952,7785.301013,12.984224,80.2268994,12.9921842,80.2353155,0.660398175,4.371298313,0.106085315,4938,,,,124,66,66,3841034,75546957,3200604,
12-31-19,2211.557396,9359.776764,12.9840392,80.2165577,12.9969966,80.2404384,0.979154281,3.1963346,0.123471051,6712,,,,210,113,113,6749705,69039749,5231646,
01-01-20,2013.944486,13526.68099,12.9658945,80.2323681,12.9873392,80.2527053,0.806301023,5.642103672,0.225460127,6773,,,,165,73,73,4338914,71448433,4189541,
01-02-20,1694.0718,2518.577672,12.9840936,80.2328942,12.985398,80.2347019,0.71943615,3.443324089,0.265655637,2647,,,,60,22,22,1430373,81590406,1439644,
01-03-20,1886.789197,3018.036076,12.9844054,80.2318949,12.9909182,80.233919,0.451800047,3.358920097,0.027010027,2392,,,,91,62,62,3964893,77767169,2258208,
01-04-20,1773.456901,2181.764486,12.9846138,80.2326856,12.9886532,80.2330486,0.454627726,3.722144365,0.25502941,2816,,,,75,38,38,2446209,80298375,1807602,
01-05-20,1683.191584,2736.571182,12.9841804,80.2324721,12.9907945,80.2345974,0.500127908,2.306052446,0.25502941,3522,,,,64,12,12,806108,80760280,1908075,
01-06-20,2024.403036,9626.84451,12.9659195,80.2320233,12.9902339,80.2529398,0.629865812,12.65027428,0.101787731,4552,,,,145,79,79,4906691,75105568,3773812,
01-07-20,1735.20708,2714.121943,12.981538,80.2312599,12.9907582,80.2345905,0.580383561,4.084617615,0.276281893,3475,,,,72,29,29,1994720,78812945,1589695,
01-08-20,1669.3425,1867.897054,,,,,0.604084375,1.886372447,0.251034588,3334,,,,51,8,8,540735,81351381,1938187,
01-09-20,1810.641007,4425.17678,12.9840546,80.1848219,13.0772409,80.2361051,0.373619481,1.966071725,0.05494545,5201,,,,91,22,22,1395844,78546793,3612564,
01-10-20,1971.819358,4115.799887,12.9861336,80.2330478,12.9940914,80.2707033,0.455147327,2.199268103,0.061412934,5653,,,,136,51,51,3331427,75413237,4495396,
01-11-20,1742.007384,3512.759555,12.9852714,80.2319949,12.9905646,80.2334037,0.432958597,3.710679293,0.088125423,4618,,,,82,23,23,1140954,79101951,2627604,
01-12-20,1839.144297,5382.336659,12.9843266,80.2229398,12.9894971,80.234722,0.485859568,3.613826275,0.25502941,4099,,,,121,58,58,3712086,77419800,1657091,
01-13-20,1908.48152,5275.436934,12.9840425,80.2270772,12.9919795,80.2360357,0.737875989,4.266798019,0.252969265,7386,,,,135,33,33,2000233,77396202,4758828,
